model_MLP-3,model_MLP-5,model_MLP-7,model_LeNet-5,model_AlexNet,model_VGG-16,activation_leaky_relu,activation_relu,activation_sigmoid,activation_tanh,mode_normal,capa_checkpoint_fc2,capa_checkpoint_fc2_fc4,capa_checkpoint_fc3,capa_checkpoint_fc4,capa_checkpoint_fc2_fc4_fc6,capa_checkpoint_fc2_fc5,capa_checkpoint_fc2_fc6,capa_checkpoint_fc3_fc5,capa_checkpoint_fc3_fc6,capa_checkpoint_fc4_fc6,capa_checkpoint_fc5,capa_checkpoint_fc6,capa_checkpoint_block1,capa_checkpoint_block1_block2,capa_checkpoint_block1_block2_block3,capa_checkpoint_block1_block2_block3_block4,capa_checkpoint_block1_block2_block3_block4_block5,capa_checkpoint_block1_fc_block,capa_checkpoint_block2,capa_checkpoint_block2_fc_block,capa_checkpoint_block3,capa_checkpoint_block3_fc_block,capa_checkpoint_block4,capa_checkpoint_block4_fc_block,capa_checkpoint_block5,capa_checkpoint_block5_fc_block,capa_checkpoint_conv1,capa_checkpoint_conv1_conv2,capa_checkpoint_conv1_conv2_conv3,capa_checkpoint_conv1_conv2_conv3_conv4,capa_checkpoint_conv1_conv2_conv3_conv4_conv5,capa_checkpoint_conv1_conv2_fc,capa_checkpoint_conv1_fc_block,capa_checkpoint_conv2,capa_checkpoint_conv2_fc_block,capa_checkpoint_conv3,capa_checkpoint_conv3_fc_block,capa_checkpoint_conv4,capa_checkpoint_conv4_fc_block,capa_checkpoint_conv5,capa_checkpoint_conv5_fc_block,capa_checkpoint_fc,capa_checkpoint_fc_block,capa_checkpoint_full,"fc_config_fc(2048,2048)","fc_config_fc(2048,1024,512,512)","fc_config_fc(2048,1024,512,256,128,128)","conv_config_conv(6, 12)_fc(100, 64)","conv_config_filt(24, 48, 96, 192, 192)_fc(1536, 1536)","conv_config_filt(40, 96, 160, 160, 96)_fc(1536, 1536)","fc_config_(100, 64)","fc_config_(1536, 1536)",gpu_name_NVIDIA GeForce GTX TITAN X,gpu_architecture_Maxwell,"Reloj_boost_1,706 MHz",gpu_name_AMD Instinct MI210,gpu_architecture_CDNA2,"Reloj_boost_1,700 MHz",peak_memory_MB,memory_avg_MB,time_per_iter_ms,total_time_ms,throughput,total_flops,factor_recompute,ahorro_memoria_pct,tiempo_extra_ms,gpu_memory_gb,cuda_cores,render_cores,best_epoch,train_acc,val_acc,total_train_time_s,batch_size
1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,203.4,190.38,1.9731,59.1939,16217.87,30442782780,1.0,0.0,0.0,64.0,0.0,6656.0,10,0.99893,0.9828,40.547,32
1.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,203.4,190.38,2.0186,60.557,15852.83,30442782780,1.0,0.0,0.0,64.0,0.0,6656.0,10,0.97483,0.9706,40.793,32
1.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,203.4,188.38,2.1362,64.0848,14980.15,38495846460,1.2645,0.0531,0.0107,64.0,0.0,6656.0,9,0.9999,0.9855,46.201,32
1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,203.4,188.41,2.0969,62.9063,15260.8,38495846460,1.2645,1.066,0.0107,64.0,0.0,6656.0,10,0.99983,0.9855,51.074,32
1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,203.4,188.38,2.3519,70.5572,13605.98,38495846460,1.2645,1.0505,0.0114,64.0,0.0,6656.0,10,0.99893,0.9828,50.107,32
1.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,203.4,188.38,2.3981,71.9421,13344.07,38495846460,1.2645,1.0505,0.0114,64.0,0.0,6656.0,10,0.97483,0.9706,51.157,32
1.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,206.37,191.52,1.9479,58.4379,32855.36,60885565500,1.0,0.0,0.0,64.0,0.0,6656.0,8,0.99955,0.9836,27.98,64
1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,206.37,193.55,1.9014,57.0429,33658.89,60885565500,1.0,0.0,0.0,64.0,0.0,6656.0,8,0.99953,0.9837,27.955,64
1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,206.37,193.42,2.1297,63.8904,30051.45,60885565500,1.0,0.0,0.0,64.0,0.0,6656.0,10,0.99682,0.9819,34.392,64
1.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,206.37,193.42,2.1621,64.862,29601.3,60885565500,1.0,0.0,0.0,64.0,0.0,6656.0,10,0.95838,0.9527,34.584,64
